No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;Time 1
3442;51.658.191;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=1 Ack=199 Win=64042 Len=1280;;;;;;;;;51658191
3511;51.701.323;192.168.100.17;119.110.115.146;TCP;54;63209  >  443 [ACK] Seq=199 Ack=1281 Win=64952 Len=0;;;;;;;;;51701323
3630;51.770.468;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=4097 Ack=199 Win=64042 Len=1280;;;;;;;;;51770468
3631;51.770.468;119.110.115.146;192.168.100.17;TCP;443;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=5377 Ack=199 Win=64042 Len=389;;;;;;;;;51770468
3653;51.770.616;192.168.100.17;119.110.115.146;TCP;54;[TCP Dup ACK 3511#1] 63209  >  443 [ACK] Seq=199 Ack=1281 Win=64952 Len=0;;;;;;;;;51770616
3654;51.770.707;192.168.100.17;119.110.115.146;TCP;54;[TCP Dup ACK 3511#2] 63209  >  443 [ACK] Seq=199 Ack=1281 Win=64952 Len=0;;;;;;;;;51770707
3663;51.781.718;52.109.124.71;192.168.100.17;TCP;1466;443  >  63210 [ACK] Seq=5876 Ack=2508 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;51781718
3664;51.781.718;52.109.124.71;192.168.100.17;TCP;1466;443  >  63210 [ACK] Seq=7288 Ack=2508 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;51781718
3665;51.781.718;52.109.124.71;192.168.100.17;TLSv1.2;884;Application Data;;;;;;;;;51781718
3679;51.781.837;192.168.100.17;52.109.124.71;TCP;54;63210  >  443 [ACK] Seq=2508 Ack=8700 Win=66304 Len=0;;;;;;;;;51781837
3733;51.829.957;192.168.100.17;52.109.124.71;TCP;54;63210  >  443 [ACK] Seq=2508 Ack=9530 Win=65280 Len=0;;;;;;;;;51829957
3759;51.858.711;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=1281 Ack=199 Win=64042 Len=1280;;;;;;;;;51858711
3760;51.858.711;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=2561 Ack=199 Win=64042 Len=1280;;;;;;;;;51858711
3788;51.859.406;192.168.100.17;119.110.115.146;TCP;54;63209  >  443 [ACK] Seq=199 Ack=3841 Win=64952 Len=0;;;;;;;;;51859406
4227;52.268.505;192.168.100.17;52.109.124.47;TCP;1466;63206  >  443 [ACK] Seq=2061 Ack=6861 Win=130048 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52268505
4228;52.268.505;192.168.100.17;52.109.124.47;TLSv1.2;354;Application Data;;;;;;;;;52268505
4229;52.269.430;192.168.100.17;52.109.124.47;TCP;1466;63207  >  443 [ACK] Seq=2066 Ack=6811 Win=130048 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52269430
4230;52.269.430;192.168.100.17;52.109.124.47;TLSv1.2;346;Application Data;;;;;;;;;52269430
4232;52.303.527;52.109.124.47;192.168.100.17;TCP;56;443  >  63206 [ACK] Seq=6861 Ack=3773 Win=525056 Len=0;;;;;;;;;52303527
4234;52.306.243;52.109.124.47;192.168.100.17;TCP;56;443  >  63207 [ACK] Seq=6811 Ack=3770 Win=525056 Len=0;;;;;;;;;52306243
4236;52.316.495;192.168.100.17;52.109.52.77;TCP;66;63211  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;52316495
4238;52.335.810;52.109.124.47;192.168.100.17;TLSv1.2;677;Application Data;;;;;;;;;52335810
4239;52.387.524;192.168.100.17;52.109.124.47;TCP;54;63206  >  443 [ACK] Seq=3773 Ack=7484 Win=131072 Len=0;;;;;;;;;52387524
4240;52.389.860;52.109.124.47;192.168.100.17;TLSv1.2;938;Application Data;;;;;;;;;52389860
4241;52.415.160;52.109.52.77;192.168.100.17;TCP;66;443  >  63211 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;52415160
4242;52.415.303;192.168.100.17;52.109.52.77;TCP;54;63211  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0;;;;;;;;;52415303
4243;52.416.462;192.168.100.17;52.109.52.77;TLSv1.2;242;Client Hello;;;;;;;;;52416462
4244;52.443.903;192.168.100.17;52.109.124.47;TCP;54;63207  >  443 [ACK] Seq=3770 Ack=7695 Win=131072 Len=0;;;;;;;;;52443903
4245;52.513.708;52.109.52.77;192.168.100.17;TCP;1466;443  >  63211 [ACK] Seq=1 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52513708
4246;52.513.708;52.109.52.77;192.168.100.17;TCP;1466;443  >  63211 [ACK] Seq=1413 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52513708
4247;52.513.798;192.168.100.17;52.109.52.77;TCP;54;63211  >  443 [ACK] Seq=189 Ack=2825 Win=66304 Len=0;;;;;;;;;52513798
4248;52.514.843;52.109.52.77;192.168.100.17;TCP;1466;443  >  63211 [ACK] Seq=2825 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52514843
4249;52.514.843;52.109.52.77;192.168.100.17;TCP;1466;443  >  63211 [ACK] Seq=4237 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52514843
4250;52.514.843;52.109.52.77;192.168.100.17;TLSv1.2;302;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;;;;;;52514843
4251;52.514.946;192.168.100.17;52.109.52.77;TCP;54;63211  >  443 [ACK] Seq=189 Ack=5897 Win=66304 Len=0;;;;;;;;;52514946
4252;52.523.029;192.168.100.17;52.109.52.77;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;52523029
4253;52.619.591;52.109.52.77;192.168.100.17;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;52619591
4254;52.622.578;192.168.100.17;52.109.52.77;TCP;1466;63211  >  443 [ACK] Seq=347 Ack=5948 Win=66304 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;52622578
4255;52.622.578;192.168.100.17;52.109.52.77;TLSv1.2;355;Application Data;;;;;;;;;52622578
4256;52.719.449;52.109.52.77;192.168.100.17;TCP;66;[TCP Dup ACK 4253#1] 443  >  63211 [ACK] Seq=5948 Ack=347 Win=524800 Len=0 SLE=1759 SRE=2060;;;;;;;;;52719449
4257;52.719.687;52.109.52.77;192.168.100.17;TCP;56;443  >  63211 [ACK] Seq=5948 Ack=2060 Win=525056 Len=0;;;;;;;;;52719687
4258;53.919.656;192.168.100.17;162.159.133.234;TLSv1.2;105;Application Data;;;;;;;;;53919656
4259;53.936.814;162.159.133.234;192.168.100.17;TCP;56;443  >  63063 [ACK] Seq=33 Ack=103 Win=76 Len=0;;;;;;;;;53936814
4260;54.223.163;162.159.133.234;192.168.100.17;TLSv1.2;86;Application Data;;;;;;;;;54223163
4261;54.223.163;119.110.115.146;192.168.100.17;TCP;310;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=3841 Ack=199 Win=64042 Len=256;;;;;;;;;54223163
4262;54.223.241;192.168.100.17;119.110.115.146;TCP;54;63209  >  443 [ACK] Seq=199 Ack=5766 Win=64952 Len=0;;;;;;;;;54223241
4263;54.226.696;192.168.100.17;119.110.115.146;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;54226696
4264;54.258.959;119.110.115.146;192.168.100.17;TCP;56;443  >  63209 [ACK] Seq=5766 Ack=325 Win=64042 Len=0;;;;;;;;;54258959
4265;54.259.374;119.110.115.146;192.168.100.17;TCP;328;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=5766 Ack=325 Win=64042 Len=274;;;;;;;;;54259374
4266;54.262.271;192.168.100.17;119.110.115.146;TLSv1.2;973;Application Data;;;;;;;;;54262271
4267;54.267.715;192.168.100.17;162.159.133.234;TCP;54;63063  >  443 [ACK] Seq=103 Ack=65 Win=510 Len=0;;;;;;;;;54267715
4268;54.306.704;119.110.115.146;192.168.100.17;TCP;56;443  >  63209 [ACK] Seq=6040 Ack=1244 Win=64042 Len=0;;;;;;;;;54306704
4269;54.321.321;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=6040 Ack=1244 Win=64042 Len=1280;;;;;;;;;54321321
4270;54.321.321;119.110.115.146;192.168.100.17;TCP;583;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=7320 Ack=1244 Win=64042 Len=529;;;;;;;;;54321321
4271;54.321.426;192.168.100.17;119.110.115.146;TCP;54;63209  >  443 [ACK] Seq=1244 Ack=7849 Win=64952 Len=0;;;;;;;;;54321426
4272;54.326.507;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=7849 Ack=1244 Win=64042 Len=1280;;;;;;;;;54326507
4273;54.329.610;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=9129 Ack=1244 Win=64042 Len=1280;;;;;;;;;54329610
4274;54.329.610;119.110.115.146;192.168.100.17;TCP;1334;[TCP Retransmission] 443  >  63209 [ACK] Seq=10409 Ack=1244 Win=64042 Len=1280;;;;;;;;;54329610
4275;54.329.610;119.110.115.146;192.168.100.17;TCP;1101;[TCP Retransmission] 443  >  63209 [PSH, ACK] Seq=11689 Ack=1244 Win=64042 Len=1047;;;;;;;;;54329610
4276;54.329.719;192.168.100.17;119.110.115.146;TCP;54;63209  >  443 [ACK] Seq=1244 Ack=12736 Win=64952 Len=0;;;;;;;;;54329719
4279;54.563.939;192.168.100.17;52.109.56.80;TCP;66;63212  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;54563939
4280;54.647.405;52.109.56.80;192.168.100.17;TCP;66;443  >  63212 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;54647405
4281;54.647.583;192.168.100.17;52.109.56.80;TCP;54;63212  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0;;;;;;;;;54647583
4282;54.649.075;192.168.100.17;52.109.56.80;TLSv1.2;242;Client Hello;;;;;;;;;54649075
4285;54.730.672;52.109.56.80;192.168.100.17;TCP;1466;443  >  63212 [ACK] Seq=1 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;54730672
4286;54.730.672;52.109.56.80;192.168.100.17;TCP;1466;443  >  63212 [ACK] Seq=1413 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;54730672
4287;54.730.791;192.168.100.17;52.109.56.80;TCP;54;63212  >  443 [ACK] Seq=189 Ack=2825 Win=66304 Len=0;;;;;;;;;54730791
4288;54.735.712;52.109.56.80;192.168.100.17;TCP;1466;443  >  63212 [ACK] Seq=2825 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;54735712
4289;54.735.712;52.109.56.80;192.168.100.17;TCP;1466;443  >  63212 [ACK] Seq=4237 Ack=189 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;54735712
4290;54.735.812;192.168.100.17;52.109.56.80;TCP;54;63212  >  443 [ACK] Seq=189 Ack=5649 Win=66304 Len=0;;;;;;;;;54735812
4291;54.737.995;52.109.56.80;192.168.100.17;TLSv1.2;110;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;;;;;;54737995
4292;54.746.036;192.168.100.17;52.109.56.80;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;54746036
4293;54.822.932;52.109.56.80;192.168.100.17;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;54822932
4294;54.825.607;192.168.100.17;52.109.56.80;TLSv1.2;566;Application Data;;;;;;;;;54825607
4295;54.825.760;192.168.100.17;52.109.56.80;TLSv1.2;369;Application Data;;;;;;;;;54825760
4296;54.905.444;52.109.56.80;192.168.100.17;TCP;56;443  >  63212 [ACK] Seq=5756 Ack=1174 Win=524032 Len=0;;;;;;;;;54905444
4297;54.913.570;52.109.56.80;192.168.100.17;TLSv1.2;622;Application Data;;;;;;;;;54913570
4298;54.914.793;52.109.56.80;192.168.100.17;TLSv1.2;88;Application Data;;;;;;;;;54914793
4299;54.914.866;192.168.100.17;52.109.56.80;TCP;54;63212  >  443 [ACK] Seq=1174 Ack=6358 Win=65536 Len=0;;;;;;;;;54914866
4300;55.145.236;52.109.52.77;192.168.100.17;TCP;1466;443  >  63211 [ACK] Seq=5948 Ack=2060 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;55145236
4301;55.145.236;52.109.52.77;192.168.100.17;TLSv1.2;1293;Application Data;;;;;;;;;55145236
4302;55.145.346;192.168.100.17;52.109.52.77;TCP;54;63211  >  443 [ACK] Seq=2060 Ack=8599 Win=66304 Len=0;;;;;;;;;55145346
4303;55.211.480;192.168.100.17;52.109.124.47;TCP;1466;63208  >  443 [ACK] Seq=2132 Ack=6861 Win=130048 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;55211480
4304;55.211.480;192.168.100.17;52.109.124.47;TLSv1.2;354;Application Data;;;;;;;;;55211480
4305;55.211.951;192.168.100.17;52.109.124.47;TCP;1466;63206  >  443 [ACK] Seq=3773 Ack=7484 Win=131072 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;55211951
4306;55.211.951;192.168.100.17;52.109.124.47;TLSv1.2;346;Application Data;;;;;;;;;55211951
4307;55.242.210;52.109.124.47;192.168.100.17;TCP;54;443  >  63208 [ACK] Seq=6861 Ack=3844 Win=525056 Len=0;;;;;;;;;55242210
4308;55.245.823;52.109.124.47;192.168.100.17;TCP;54;443  >  63206 [ACK] Seq=7484 Ack=5477 Win=525056 Len=0;;;;;;;;;55245823
4309;55.293.538;52.109.124.47;192.168.100.17;TLSv1.2;937;Application Data;;;;;;;;;55293538
4310;55.317.006;52.109.124.47;192.168.100.17;TLSv1.2;677;Application Data;;;;;;;;;55317006
4311;55.341.638;192.168.100.17;52.109.124.47;TCP;54;63206  >  443 [ACK] Seq=5477 Ack=8367 Win=130304 Len=0;;;;;;;;;55341638
4313;55.359.551;192.168.100.17;52.109.124.47;TCP;54;63208  >  443 [ACK] Seq=3844 Ack=7484 Win=131072 Len=0;;;;;;;;;55359551
4320;58.796.804;192.168.100.17;104.208.16.88;TCP;66;63213  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;58796804
4321;58.915.006;192.168.100.17;157.240.208.60;TLSv1.2;85;Application Data;;;;;;;;;58915006
4322;58.933.431;157.240.208.60;192.168.100.17;TCP;56;443  >  63179 [ACK] Seq=77 Ack=94 Win=65535 Len=0;;;;;;;;;58933431
4323;59.020.730;104.208.16.88;192.168.100.17;TCP;66;443  >  63213 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;59020730
4324;59.020.833;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0;;;;;;;;;59020833
4325;59.022.124;192.168.100.17;104.208.16.88;TLSv1.2;344;Client Hello;;;;;;;;;59022124
4326;59.125.292;157.240.208.60;192.168.100.17;TLSv1.2;92;Application Data;;;;;;;;;59125292
4327;59.167.912;192.168.100.17;157.240.208.60;TCP;54;63179  >  443 [ACK] Seq=94 Ack=115 Win=63967 Len=0;;;;;;;;;59167912
4328;59.256.278;104.208.16.88;192.168.100.17;TCP;1466;443  >  63213 [ACK] Seq=1 Ack=291 Win=524800 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59256278
4329;59.256.278;104.208.16.88;192.168.100.17;TCP;1466;443  >  63213 [ACK] Seq=1413 Ack=291 Win=524800 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59256278
4330;59.256.370;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=291 Ack=2825 Win=262144 Len=0;;;;;;;;;59256370
4331;59.256.630;104.208.16.88;192.168.100.17;TCP;1466;443  >  63213 [ACK] Seq=2825 Ack=291 Win=524800 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59256630
4332;59.256.630;104.208.16.88;192.168.100.17;TCP;1466;443  >  63213 [ACK] Seq=4237 Ack=291 Win=524800 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59256630
4333;59.256.630;104.208.16.88;192.168.100.17;TLSv1.2;595;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;;;;;;59256630
4334;59.256.662;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=291 Ack=6190 Win=262144 Len=0;;;;;;;;;59256662
4335;59.263.876;192.168.100.17;104.208.16.88;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;59263876
4336;59.650.255;104.208.16.88;192.168.100.17;TLSv1.2;105;Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;59650255
4337;59.650.320;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=449 Ack=6241 Win=261888 Len=0;;;;;;;;;59650320
4338;59.650.920;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=449 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650920
4339;59.650.920;192.168.100.17;104.208.16.88;TLSv1.2;175;Application Data;;;;;;;;;59650920
4340;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=1982 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4341;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=3394 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4342;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=4806 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4343;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=6218 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4344;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=7630 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4345;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=9042 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4346;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=10454 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4347;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=11866 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4348;59.650.980;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=13278 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59650980
4349;59.922.343;192.168.100.17;35.186.224.39;TLSv1.2;97;Application Data;;;;;;;;;59922343
4350;59.924.620;104.208.16.88;192.168.100.17;TCP;66;[TCP Dup ACK 4336#1] 443  >  63213 [ACK] Seq=6241 Ack=449 Win=524800 Len=0 SLE=1861 SRE=1982;;;;;;;;;59924620
4351;59.924.691;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=14690 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59924691
4352;59.924.822;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6241 Ack=1982 Win=525056 Len=0;;;;;;;;;59924822
4353;59.924.901;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=16102 Ack=6241 Win=261888 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;59924901
4354;59.928.448;104.208.16.88;192.168.100.17;TLSv1.2;108;Application Data;;;;;;;;;59928448
4355;59.928.448;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=3394 Win=525056 Len=0;;;;;;;;;59928448
4356;59.928.448;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=4806 Win=525056 Len=0;;;;;;;;;59928448
4357;59.928.448;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=9042 Win=525056 Len=0;;;;;;;;;59928448
4358;59.928.448;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=10454 Win=525056 Len=0;;;;;;;;;59928448
4359;59.928.448;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=14690 Win=525056 Len=0;;;;;;;;;59928448
4360;59.928.579;192.168.100.17;104.208.16.88;TLSv1.2;878;Application Data;;;;;;;;;59928579
4361;59.938.328;35.186.224.39;192.168.100.17;TCP;56;443  >  65458 [ACK] Seq=432 Ack=87 Win=272 Len=0;;;;;;;;;59938328
4362;60.002.641;35.186.224.39;192.168.100.17;TLSv1.2;94;Application Data;;;;;;;;;60002641
4363;60.053.050;192.168.100.17;35.186.224.39;TCP;54;65458  >  443 [ACK] Seq=87 Ack=472 Win=508 Len=0;;;;;;;;;60053050
4364;60.112.728;192.168.100.17;35.186.224.47;TLSv1.2;97;Application Data;;;;;;;;;60112728
4365;60.131.366;35.186.224.47;192.168.100.17;TCP;54;443  >  65379 [ACK] Seq=81 Ack=130 Win=272 Len=0;;;;;;;;;60131366
4366;60.146.486;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6295 Ack=17514 Win=525056 Len=0;;;;;;;;;60146486
4367;60.157.997;104.208.16.88;192.168.100.17;TLSv1.2;464;Application Data;;;;;;;;;60157997
4368;60.158.118;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=18338 Ack=6705 Win=261376 Len=0;;;;;;;;;60158118
4369;60.165.933;192.168.100.17;104.208.16.88;TLSv1.2;1136;Application Data;;;;;;;;;60165933
4370;60.166.039;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=19420 Ack=6705 Win=261376 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;60166039
4371;60.166.039;192.168.100.17;104.208.16.88;TCP;1466;63213  >  443 [ACK] Seq=20832 Ack=6705 Win=261376 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;60166039
4372;60.166.039;192.168.100.17;104.208.16.88;TLSv1.2;527;Application Data;;;;;;;;;60166039
4373;60.193.831;35.186.224.47;192.168.100.17;TLSv1.2;94;Application Data;;;;;;;;;60193831
4374;60.238.982;192.168.100.17;35.186.224.47;TCP;54;65379  >  443 [ACK] Seq=130 Ack=121 Win=255 Len=0;;;;;;;;;60238982
4375;60.279.828;199.232.44.84;192.168.100.17;TLSv1.2;105;Application Data;;;;;;;;;60279828
4376;60.279.828;199.232.44.84;192.168.100.17;TLSv1.2;78;Application Data;;;;;;;;;60279828
4377;60.279.997;192.168.100.17;199.232.44.84;TCP;54;63112  >  443 [ACK] Seq=2 Ack=76 Win=64952 Len=0;;;;;;;;;60279997
4378;60.280.389;192.168.100.17;199.232.44.84;TCP;54;63112  >  443 [FIN, ACK] Seq=2 Ack=76 Win=64952 Len=0;;;;;;;;;60280389
4379;60.280.590;199.232.44.84;192.168.100.17;TCP;56;443  >  63112 [FIN, ACK] Seq=76 Ack=2 Win=65535 Len=0;;;;;;;;;60280590
4380;60.280.655;192.168.100.17;199.232.44.84;TCP;54;63112  >  443 [ACK] Seq=3 Ack=77 Win=64952 Len=0;;;;;;;;;60280655
4381;60.311.849;199.232.44.84;192.168.100.17;TCP;56;443  >  63112 [ACK] Seq=77 Ack=3 Win=65535 Len=0;;;;;;;;;60311849
4382;60.392.539;104.208.16.88;192.168.100.17;TCP;56;443  >  63213 [ACK] Seq=6705 Ack=22717 Win=525056 Len=0;;;;;;;;;60392539
4383;60.394.141;104.208.16.88;192.168.100.17;TLSv1.2;461;Application Data;;;;;;;;;60394141
4384;60.394.253;192.168.100.17;104.208.16.88;TCP;54;63213  >  443 [ACK] Seq=22717 Ack=7112 Win=261120 Len=0;;;;;;;;;60394253
4385;64.551.602;192.168.100.17;35.186.224.47;TLSv1.2;89;Application Data;;;;;;;;;64551602
4386;64.567.914;35.186.224.47;192.168.100.17;TCP;56;443  >  65461 [ACK] Seq=63 Ack=106 Win=266 Len=0;;;;;;;;;64567914
4387;64.628.681;35.186.224.47;192.168.100.17;TLSv1.2;85;Application Data;;;;;;;;;64628681
4388;64.676.015;192.168.100.17;35.186.224.47;TCP;54;65461  >  443 [ACK] Seq=106 Ack=94 Win=509 Len=0;;;;;;;;;64676015
4389;64.723.109;192.168.100.17;104.26.14.183;TCP;55;[TCP Keep-Alive] 63100  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1;;;;;;;;;64723109
4390;64.763.200;104.26.14.183;192.168.100.17;TCP;54;[TCP Keep-Alive ACK] 443  >  63100 [ACK] Seq=1 Ack=2 Win=65535 Len=0;;;;;;;;;64763200
4391;64.818.893;192.168.100.17;52.109.56.20;TCP;66;63214  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;64818893
4392;64.907.242;52.109.56.20;192.168.100.17;TCP;66;443  >  63214 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 WS=256 SACK_PERM=1;;;;;;;;;64907242
4393;64.907.329;192.168.100.17;52.109.56.20;TCP;54;63214  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0;;;;;;;;;64907329
4394;64.907.679;192.168.100.17;52.109.56.20;TLSv1.2;246;Client Hello;;;;;;;;;64907679
4395;64.984.931;52.109.56.20;192.168.100.17;TCP;1466;443  >  63214 [ACK] Seq=1 Ack=193 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;64984931
4396;64.984.931;52.109.56.20;192.168.100.17;TCP;1466;443  >  63214 [ACK] Seq=1413 Ack=193 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;64984931
4397;64.984.931;52.109.56.20;192.168.100.17;TCP;1466;443  >  63214 [ACK] Seq=2825 Ack=193 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;64984931
4398;64.985.009;192.168.100.17;52.109.56.20;TCP;54;63214  >  443 [ACK] Seq=193 Ack=4237 Win=131072 Len=0;;;;;;;;;64985009
4399;64.986.954;52.109.56.20;192.168.100.17;TCP;1466;443  >  63214 [ACK] Seq=4237 Ack=193 Win=525056 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;64986954
4400;64.986.954;52.109.56.20;192.168.100.17;TLSv1.2;339;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;;;;;;64986954
4401;64.987.000;192.168.100.17;52.109.56.20;TCP;54;63214  >  443 [ACK] Seq=193 Ack=5934 Win=131072 Len=0;;;;;;;;;64987000
4402;64.989.456;192.168.100.17;52.109.56.20;TLSv1.2;212;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;64989456
